	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
0	0	2	1	1	0	0	0	0	2	1	1	2	2	1	1	1	0	1	1	0	2	1	1	3	1	0	1	0	2	0	1	3	2	1	1	1	3	0	0	1
40	1	1	2	1	0	2	0	2	2	0	1	1	1	1	0	2	1	0	0	0	2	3	0	0	0	1	2	1	2	1	0	2	1	3	0	0	2	1	2	1
80	0	1	0	4	3	1	1	2	4	1	1	3	1	0	0	1	1	0	0	2	2	0	0	2	0	3	2	1	3	4	0	1	2	2	2	0	3	1	1	0
120	1	0	2	0	1	0	2	0	2	0	0	1	3	1	0	2	1	0	1	0	1	3	0	0	1	1	0	1	0	1	0	2	1	4	2	1	1	0	0	1
160	5	1	1	2	2	3	2	1	2	2	2	1	0	1	0	1	1	3	1	1	5	1	1	1	0	0	0	0	2	2	3	1	1	0	2	0	1	2	1	0
200	4	1	3	1	0	1	5	0	2	0	2	0	0	2	2	1	0	3	0	2	0	1	1	2	1	1	1	3	3	0	3	2	1	6	0	0	0	0	3	0
240	1	1	0	2	2	1	4	0	2	2	0	0	1	0	3	0	0	2	3	2	1	1	2	2	0	2	1	1	0	1	1	2	1	0	1	2	3	2	1	2
280	3	1	2	1	1	5	2	0	1	2	1	2	3	3	0	0	0	1	0	2	1	1	4	0	0	0	0	0	1	1	2	1	1	5	2	1	2	3	0	3
320	3	0	3	1	1	1	4	0	1	1	0	1	2	4	0	2	0	1	1	1	1	0	2	1	1	0	1	3	0	2	1	2	3	1	0	0	0	4	0	0
360	0	1	3	5	0	0	3	1	0	0	0	1	2	3	0	3	1	1	2	2	0	2	3	1	2	4	1	1	0	0	2	0	2	0	0	1	1	2	2	3
400	1	1	1	3	2	0	1	0	1	1	2	2	2	2	2	2	0	1	2	2	1	0	0	3	2	1	1	1	2	1	1	0	2	0	2	2	2	0	3	0
440	1	0	2	3	2	1	1	5	2	1	0	3	1	2	1	1	1	1	1	2	0	1	0	1	0	1	2	1	0	2	5	0	1	1	2	0	1	2	2	1
480	2	3	0	2	2	3	0	0	1	5	1	2	1	1	1	1	1	3	1	2	1	2	1	0	2	2	0	1	2	1	2	3	2	2	0	1	0	1	0	0
520	4	0	0	2	1	0	3	1	1	1	0	1	0	1	1	0	4	1	3	0	0	1	4	1	0	1	0	1	3	0	3	1	2	2	2	0	2	2	0	2
560	3	2	3	0	0	0	1	2	3	1	0	2	0	4	4	1	0	3	1	1	1	0	0	0	5	0	0	1	1	0	0	1	1	3	1	0	0	0	1	3
600	0	2	2	0	1	4	2	1	2	2	0	2	1	1	1	1	3	1	1	3	1	3	2	0	1	0	1	1	1	1	2	1	2	0	1	0	1	0	2	0
640	3	0	0	3	2	2	3	1	2	3	0	1	1	0	1	0	0	1	0	1	3	1	0	2	0	1	0	2	2	4	0	0	1	1	1	1	2	3	1	1
680	0	1	0	0	3	2	0	0	0	0	1	1	0	2	0	1	2	1	0	2	2	0	1	1	1	1	0	1	0	1	0	0	2	0	1	3	0	0	2	0
720	1	0	3	4	2	1	2	2	2	1	3	2	1	1	1	1	0	0	0	5	3	1	2	2	1	2	2	1	1	0	0	2	0	0	1	2	1	0	1	0
760	1	1	2	2	1	3	1	3	1	1	2	1	2	1	0	2	0	2	2	0	2	1	1	0	3	5	3	1	1	1	1	0	1	1	3	3	2	1	1	1
800	0	1	0	0	1	1	0	0	1	2	0	0	2	0	1	0	3	0	1	0	0	6	3	0	1	1	3	1	1	2	1	2	0	1	2	1	3	1	1	1
840	1	0	0	0	1	1	3	2	1	0	1	0	3	0	0	2	0	1	1	3	1	1	0	0	2	0	3	2	3	0	2	2	0	3	0	0	1	0	2	1
880	1	0	2	2	3	0	1	2	0	2	1	2	2	1	1	0	1	1	2	1	1	1	2	2	1	2	3	1	1	1	0	1	0	2	3	1	3	3	0	1
920	2	0	0	2	1	2	1	1	1	0	0	1	0	3	1	2	0	2	1	1	1	1	0	1	1	0	1	1	0	1	2	3	3	0	2	0	1	0	0	2
960	2	1	0	1	1	2	1	1	0	0	1	0	1	1	0	0	0	2	2	3	1	0	2	1	0	2	0	4	1	0	2	1	1	2	2	0	2	2	1	1
1000	1	1	0	0	1	2	2	0	3	3	1	2	1	3	0	0	0	2	0	0	3	2	1	1	2	4	1	2	1	1	2	1	0	1	1	0	0	0	2	1
1040	2	1	0	4	0	0	2	0	0	0	1	0	3	1	1	2	1	3	1	0	0	2	1	4	2	1	1	0	0	0	4	1	0	1	2	0	1	0	0	1
1080	0	1	0	3	3	1	0	1	2	1	2	2	0	1	2	2	2	1	2	0	1	1	2	1	0	1	0	0	2	2	1	1	0	5	2	1	0	3	0	2
