 0 , 831850,  835031,  3181 
1 , 2746993,  2750191,  3198 , 3830303 
2 , 4485156,  4488369,  3213 , 3476341 
3 , 6123177,  6126405,  3228 , 3276057 
4 , 7690462,  7693707,  3245 , 3134587 
5 , 9204624,  9207886,  3262 , 3028341 
6 , 10675046,  10678323,  3277 , 2940859 
7 , 12109342,  12112635,  3293 , 2868608 
8 , 13512340,  13515649,  3309 , 2806012 
9 , 14888346,  14891672,  3326 , 2752029 
10 , 16240019,  16243360,  3341 , 2703361 
11 , 17570423,  17573779,  3356 , 2660823 
12 , 18881039,  18884412,  3373 , 2621249 
13 , 20174234,  20177624,  3390 , 2586407 
14 , 21451206,  21454610,  3404 , 2553958 
15 , 22713325,  22716745,  3420 , 2524254 
16 , 23961713,  23965149,  3436 , 2496792 
17 , 25197354,  25200806,  3452 , 2471298 
18 , 26420979,  26424445,  3466 , 2447264 
19 , 27633425,  27636908,  3483 , 2424909 
20 , 28835346,  28838847,  3501 , 2403860 
21 , 30027243,  30030758,  3515 , 2383808 
22 , 31209709,  31213242,  3533 , 2364950 
23 , 32383385,  32386933,  3548 , 2347367 
24 , 33548504,  33552066,  3562 , 2330252 
25 , 34705722,  34709300,  3578 , 2314452 
26 , 35855243,  35858838,  3595 , 2299059 
27 , 36997555,  37001166,  3611 , 2284640 
28 , 38132843,  38136470,  3627 , 2270592 
29 , 39261595,  39265238,  3643 , 2257520 
30 , 40383876,  40387535,  3659 , 2244578 
31 , 41500130,  41503804,  3674 , 2232523 
32 , 42610564,  42614256,  3692 , 2220886 
33 , 43715368,  43719074,  3706 , 2209622 
34 , 44814839,  44818561,  3722 , 2198958 
35 , 45909016,  45912754,  3738 , 2188370 
36 , 46998199,  47001952,  3753 , 2178381 
37 , 48082518,  48086286,  3768 , 2168653 
38 , 49162191,  49165975,  3784 , 2159362 
39 , 50237206,  50241006,  3800 , 2150046 
40 , 51307960,  51311777,  3817 , 2141525 
41 , 52374362,  52378195,  3833 , 2132820 
42 , 53436840,  53440688,  3848 , 2124971 
43 , 54495226,  54499089,  3863 , 2116787 
44 , 55549989,  55553867,  3878 , 2109541 
45 , 56600856,  56604749,  3893 , 2101749 
46 , 57648318,  57652229,  3911 , 2094942 
47 , 58692072,  58695996,  3924 , 2087521 
48 , 59732692,  59736632,  3940 , 2081256 
49 , 60769759,  60773713,  3954 , 2074148 
50 , 61803896,  61807868,  3972 , 2068292 
51 , 62834633,  62838619,  3986 , 2061488 
52 , 63862611,  63866615,  4004 , 2055974 
53 , 64887401,  64891418,  4017 , 2049593 
54 , 65909515,  65913550,  4035 , 2044246 
55 , 66928622,  66932671,  4049 , 2038228 
56 , 67945130,  67949195,  4065 , 2033032 
57 , 68958828,  68962908,  4080 , 2027411 
58 , 69970032,  69974127,  4095 , 2022423 
59 , 70978552,  70982664,  4112 , 2017057 
60 , 71984712,  71988838,  4126 , 2012334 
61 , 72988306,  72992447,  4141 , 2007203 
62 , 73989631,  73993791,  4160 , 2002669 
63 , 74988508,  74992681,  4173 , 1997767 
64 , 75985263,  75989451,  4188 , 1993525 
65 , 76979619,  76983822,  4203 , 1988727 
66 , 77971955,  77976176,  4221 , 1984690 
67 , 78961980,  78966215,  4235 , 1980064 
68 , 79950024,  79954277,  4253 , 1976106 
69 , 80935880,  80940147,  4267 , 1971726 
70 , 81919826,  81924109,  4283 , 1967908 
71 , 82901670,  82905968,  4298 , 1963703 
72 , 83881674,  83885987,  4313 , 1960023 
73 , 84859689,  84864018,  4329 , 1956046 
74 , 85835934,  85840280,  4346 , 1952507 
75 , 86810211,  86814573,  4362 , 1948570 
76 , 87782837,  87787214,  4377 , 1945267 
77 , 88753566,  88757958,  4392 , 1941473 
78 , 89722683,  89727092,  4409 , 1938251 
79 , 90689992,  90694417,  4425 , 1934634 
80 , 91655779,  91660219,  4440 , 1931589 
81 , 92619814,  92624269,  4455 , 1928085 
82 , 93582382,  93586854,  4472 , 1925153 
83 , 94543229,  94547714,  4485 , 1921707 
84 , 95502675,  95507177,  4502 , 1918909 
85 , 96460470,  96464989,  4519 , 1915607 
86 , 97416890,  97421424,  4534 , 1912855 
87 , 98371714,  98376265,  4551 , 1909665 
88 , 99325222,  99329787,  4565 , 1907030 
89 , 100277188,  100281769,  4581 , 1903948 
90 , 101227891,  101232489,  4598 , 1901423 
91 , 102177066,  102181679,  4613 , 1898365 
92 , 103125027,  103129657,  4630 , 1895939 
93 , 104071548,  104076191,  4643 , 1893055 
94 , 105016895,  105021557,  4662 , 1890713 
