0 , 1010505,  1014270,  3765 
1 , 3180125,  3183917,  3792 , 4339267 
2 , 5145021,  5148838,  3817 , 3929817 
3 , 6991861,  6995616,  3755 , 3693618 
4 , 8756426,  8760293,  3867 , 3529242 
5 , 10458834,  10462727,  3893 , 3404842 
6 , 12110479,  12114398,  3919 , 3303316 
7 , 13721555,  13725501,  3946 , 3222179 
8 , 15296304,  15300274,  3970 , 3149522 
9 , 16840833,  16844830,  3997 , 3089085 
10 , 18357386,  18361404,  4018 , 3033127 
11 , 19850381,  19854426,  4045 , 2986017 
12 , 21320889,  21324960,  4071 , 2941042 
13 , 22772005,  22776100,  4095 , 2902256 
14 , 24204683,  24208804,  4121 , 2865382 
15 , 25621444,  25625591,  4147 , 2833548 
16 , 27022016,  27026188,  4172 , 2801169 
17 , 28408925,  28413124,  4199 , 2773845 
18 , 29781873,  29786095,  4222 , 2745919 
19 , 31143254,  31147502,  4248 , 2722788 
20 , 32492089,  32496361,  4272 , 2697694 
21 , 33830660,  33834959,  4299 , 2677169 
22 , 35158378,  35162701,  4323 , 2655460 
23 , 36476843,  36481190,  4347 , 2636954 
24 , 37785777,  37790148,  4371 , 2617892 
25 , 39086473,  39090871,  4398 , 2601419 
26 , 40378299,  40382720,  4421 , 2583675 
27 , 41662770,  41667217,  4447 , 2568968 
28 , 42939266,  42943736,  4470 , 2553015 
29 , 44209045,  44213543,  4498 , 2539586 
30 , 45471493,  45476013,  4520 , 2524918 
31 , 46727864,  46732410,  4546 , 2512768 
32 , 47977466,  47982037,  4571 , 2499229 
33 , 49221457,  49226051,  4594 , 2488005 
34 , 50459353,  50463973,  4620 , 2475818 
35 , 51692065,  51696710,  4645 , 2465449 
36 , 52919034,  52923701,  4667 , 2453960 
37 , 54141271,  54145964,  4693 , 2444500 
38 , 55358112,  55362831,  4719 , 2433708 
39 , 56570551,  56575294,  4743 , 2424902 
40 , 57777946,  57782713,  4767 , 2414814 
41 , 58981205,  58985999,  4794 , 2406545 
42 , 60179805,  60184621,  4816 , 2397222 
43 , 61374636,  61379479,  4843 , 2389689 
44 , 62564984,  62569851,  4867 , 2380720 
45 , 63751835,  63756728,  4893 , 2373728 
46 , 64934465,  64939381,  4916 , 2365283 
47 , 66113844,  66118784,  4940 , 2358782 
48 , 67289216,  67294182,  4966 , 2350770 
49 , 68461580,  68466572,  4992 , 2344754 
50 , 69630003,  69635019,  5016 , 2336870 
51 , 70795605,  70800645,  5040 , 2331228 
52 , 71957480,  71962546,  5066 , 2323776 
53 , 73116693,  73121782,  5089 , 2318449 
54 , 74272501,  74277616,  5115 , 2311642 
55 , 75425687,  75430829,  5142 , 2306399 
56 , 76575639,  76580804,  5165 , 2299927 
57 , 77723116,  77728306,  5190 , 2294979 
58 , 78867404,  78872619,  5215 , 2288601 
59 , 80009470,  80014711,  5241 , 2284158 
60 , 81148487,  81153753,  5266 , 2278059 
61 , 82285424,  82290716,  5292 , 2273900 
62 , 83419456,  83424770,  5314 , 2268086 
63 , 84551443,  84556784,  5341 , 2264001 
64 , 85680686,  85686052,  5366 , 2258511 
65 , 86807985,  86813376,  5391 , 2254623 
66 , 87932664,  87938079,  5415 , 2249382 
67 , 89055518,  89060960,  5442 , 2245735 
68 , 90175775,  90181241,  5466 , 2240538 
69 , 91294386,  91299879,  5493 , 2237249 
70 , 92410386,  92415902,  5516 , 2232023 
71 , 93524871,  93530415,  5544 , 2228998 
72 , 94636894,  94642461,  5567 , 2224069 
73 , 95747435,  95753031,  5596 , 2221111 
74 , 96855581,  96861200,  5619 , 2216315 
75 , 97962315,  97967959,  5644 , 2213493 
76 , 99066686,  99072356,  5670 , 2208768 
77 , 100169735,  100175431,  5696 , 2206124 
78 , 101270615,  101276334,  5719 , 2201783 
79 , 102370196,  102375941,  5745 , 2199188 
80 , 103467721,  103473493,  5772 , 2195077 
81 , 104564004,  104569802,  5798 , 2192592 
82 , 105658307,  105664129,  5822 , 2188630 
83 , 106751357,  106757205,  5848 , 2186126 
84 , 107842520,  107848394,  5874 , 2182352 
85 , 108932522,  108938422,  5900 , 2180030 
86 , 110020663,  110026586,  5923 , 2176305 
87 , 111107660,  111113610,  5950 , 2174021 
88 , 112192845,  112198819,  5974 , 2170394 
89 , 113277019,  113283021,  6002 , 2168376 
90 , 114359360,  114365388,  6028 , 2164708 
91 , 115440770,  115446823,  6053 , 2162845 
92 , 116520430,  116526509,  6079 , 2159346 
93 , 117599164,  117605269,  6105 , 2157494 
94 , 118676223,  118682352,  6129 , 2154142 
95 , 119752408,  119758563,  6155 , 2152396 
96 , 120826946,  120833125,  6179 , 2149100 
97 , 121900691,  121906897,  6206 , 2147517 
98 , 122972755,  122978986,  6231 , 2144153 
99 , 124044058,  124050316,  6258 , 2142633 
100 , 125113816,  125120097,  6281 , 2139539 
101 , 302936,  309967,  7031 , 8340313582 
102 , 1345498,  1352557,  7059 , 2085152 
103 , 2386911,  2393994,  7083 , 2082850 
104 , 3427980,  3435092,  7112 , 2082167 
105 , 4468011,  4475147,  7136 , 2080086 
106 , 5507675,  5514839,  7164 , 2079356 
107 , 6546336,  6553524,  7188 , 2077346 
108 , 7584653,  7591869,  7216 , 2076662 
109 , 8621995,  8629234,  7239 , 2074707 
110 , 9659036,  9666303,  7267 , 2074110 
111 , 10695089,  10702382,  7293 , 2072132 
112 , 11730775,  11738095,  7320 , 2071399 
113 , 12765521,  12772865,  7344 , 2069516 
114 , 13799920,  13807291,  7371 , 2068825 
115 , 14833440,  14840839,  7399 , 2067068 
116 , 15866598,  15874024,  7426 , 2066343 
117 , 16898858,  16906309,  7451 , 2064545 
118 , 17930781,  17938260,  7479 , 2063874 
119 , 18961852,  18969356,  7504 , 2062167 
120 , 19992545,  20000077,  7532 , 2061414 
121 , 21022437,  21029994,  7557 , 2059809 
122 , 285358,  295262,  9904 , 8548462781 
123 , 1283696,  1293626,  9930 , 1996702 
124 , 2281336,  2291294,  9958 , 1995308 
125 , 3279186,  3289175,  9989 , 1995731 
126 , 4276361,  4286375,  10014 , 1994375 
127 , 5273751,  5283796,  10045 , 1994811 
128 , 6270474,  6280544,  10070 , 1993471 
129 , 7267399,  7277501,  10102 , 1993882 
130 , 8263703,  8273831,  10128 , 1992634 
131 , 9260200,  9270359,  10159 , 1993025 
132 , 10256088,  10266275,  10187 , 1991804 
133 , 11252136,  11262354,  10218 , 1992127 
134 , 12247586,  12257833,  10247 , 1990929 
135 , 13243198,  13253473,  10275 , 1991252 
136 , 14238239,  14248542,  10303 , 1990110 
137 , 15233428,  15243762,  10334 , 1990409 
138 , 16228045,  16238407,  10362 , 1989262 
139 , 17222813,  17233207,  10394 , 1989568 
140 , 18217020,  18227440,  10420 , 1988440 
141 , 19211379,  19221831,  10452 , 1988750 
142 , 20205188,  20215667,  10479 , 1987645 
143 , 955285,  968262,  12977 , 8551437284 
144 , 1936702,  1949712,  13010 , 1962867 
145 , 2918427,  2931471,  13044 , 1963484 
146 , 3899666,  3912740,  13074 , 1962508 
147 , 4881166,  4894275,  13109 , 1963035 
148 , 5862173,  5875313,  13140 , 1962045 
149 , 6843428,  6856603,  13175 , 1962545 
150 , 7824253,  7837459,  13206 , 1961681 
151 , 8805289,  8818529,  13240 , 1962106 
152 , 9785899,  9799172,  13273 , 1961253 
153 , 10766714,  10780022,  13308 , 1961665 
154 , 11747119,  11760458,  13339 , 1960841 
155 , 12727703,  12741076,  13373 , 1961202 
156 , 13707871,  13721276,  13405 , 1960368 
157 , 14688251,  14701692,  13441 , 1960796 
158 , 15668216,  15681687,  13471 , 1959960 
159 , 16648418,  16661924,  13506 , 1960439 
160 , 17628189,  17641728,  13539 , 1959575 
161 , 18608224,  18621798,  13574 , 1960105 
162 , 19587840,  19601445,  13605 , 1959263 
163 , 20567639,  20581282,  13643 , 1959636 
164 , 917659,  934031,  16372 , 8550637361 
165 , 1890974,  1907383,  16409 , 1946667 
166 , 2864858,  2881306,  16448 , 1947807 
167 , 3837992,  3854472,  16480 , 1946300 
168 , 4811765,  4828286,  16521 , 1947587 
169 , 5784807,  5801363,  16556 , 1946119 
170 , 6758418,  6775012,  16594 , 1947260 
171 , 7731330,  7747962,  16632 , 1945862 
172 , 8704927,  8721599,  16672 , 1947234 
173 , 9677676,  9694384,  16708 , 1945534 
174 , 10651038,  10667783,  16745 , 1946761 
175 , 11623690,  11640470,  16780 , 1945339 
176 , 12596900,  12613721,  16821 , 1946461 
177 , 13569453,  13586311,  16858 , 1945143 
178 , 14542525,  14559423,  16898 , 1946184 
179 , 15514958,  15531893,  16935 , 1944903 
180 , 16487916,  16504892,  16976 , 1945957 
181 , 17460232,  17477244,  17012 , 1944668 
182 , 18433050,  18450102,  17052 , 1945676 
183 , 19405247,  19422336,  17089 , 1944431 
184 , 20377925,  20395057,  17132 , 1945399 
185 , 816483,  839199,  22716 , 8550817292 
186 , 1783425,  1806183,  22758 , 1933926 
187 , 2750855,  2773664,  22809 , 1934911 
188 , 3717718,  3740573,  22855 , 1933772 
189 , 4685082,  4707987,  22905 , 1934778 
190 , 5651866,  5674812,  22946 , 1933609 
191 , 6619173,  6642170,  22997 , 1934665 
192 , 7585903,  7608944,  23041 , 1933504 
193 , 8553161,  8576256,  23095 , 1934570 
194 , 9519816,  9542955,  23139 , 1933354 
195 , 10487066,  10510255,  23189 , 1934550 
196 , 11453683,  11476917,  23234 , 1933279 
197 , 12420841,  12444124,  23283 , 1934365 
198 , 13387376,  13410706,  23330 , 1933117 
199 , 14354483,  14377864,  23381 , 1934265 
200 , 15320963,  15344390,  23427 , 1933006 
201 , 16287978,  16311454,  23476 , 1934079 
202 , 17254377,  17277896,  23519 , 1932841 
203 , 18221308,  18244882,  23574 , 1933917 
204 , 19187644,  19211264,  23620 , 1932718 
205 , 20154548,  20178219,  23671 , 1933859 
206 , 235485,  266761,  31276 , 8550104071 
207 , 1200189,  1231523,  31334 , 1929466 
208 , 2164170,  2195560,  31390 , 1928018 
209 , 3128842,  3160300,  31458 , 1929412 
210 , 4092823,  4124336,  31513 , 1928017 
211 , 5057406,  5088986,  31580 , 1929233 
212 , 6021374,  6053014,  31640 , 1927996 
213 , 6985975,  7017689,  31714 , 1929276 
214 , 7950382,  7981672,  31290 , 1928390 
215 , 8914451,  8946284,  31833 , 1928681 
216 , 9878323,  9910211,  31888 , 1927799 
217 , 10842914,  10874861,  31947 , 1929241 
218 , 11806761,  11838777,  32016 , 1927763 
219 , 12771305,  12803390,  32085 , 1929157 
220 , 13735111,  13767254,  32143 , 1927670 
221 , 14699661,  14731870,  32209 , 1929166 
222 , 15663443,  15695711,  32268 , 1927623 
223 , 16627953,  16660288,  32335 , 1929087 
224 , 17591756,  17624149,  32393 , 1927664 
225 , 18556216,  18588676,  32460 , 1928987 
226 , 19519947,  19552465,  32518 , 1927520 
227 , 96585,  146682,  50097 , 8551105447 
228 , 1057024,  1107217,  50193 , 1920974 
229 , 2019408,  2069707,  50299 , 1924874 
230 , 2979861,  3030249,  50388 , 1920995 
231 , 3942203,  3992692,  50489 , 1924785 
232 , 4902690,  4953275,  50585 , 1921070 
233 , 5865008,  5915698,  50690 , 1924741 
234 , 6825454,  6876241,  50787 , 1920989 
235 , 7787737,  7838625,  50888 , 1924667 
236 , 8748233,  8799220,  50987 , 1921091 
237 , 9710463,  9761564,  51101 , 1924574 
238 , 10670913,  10722102,  51189 , 1920988 
239 , 11633233,  11684534,  51301 , 1924752 
240 , 12593665,  12645060,  51395 , 1920958 
241 , 13555932,  13607440,  51508 , 1924647 
242 , 14516352,  14567963,  51611 , 1920943 
243 , 15478600,  15530318,  51718 , 1924603 
244 , 16439002,  16490828,  51826 , 1920912 
245 , 17401241,  17453170,  51929 , 1924581 
246 , 18361673,  18413696,  52023 , 1920958 
247 , 19323887,  19376027,  52140 , 1924545 
248 , 275458,  474129,  198671 , 8551984265 
249 , 1236975,  1436246,  199271 , 1923634 
250 , 2193573,  2393439,  199866 , 1913791 
251 , 3155058,  3355533,  200475 , 1923579 
252 , 4111781,  4312794,  201013 , 1913984 
253 , 5073283,  5274834,  201551 , 1923542 
254 , 6029882,  6232040,  202158 , 1913805 
255 , 6991141,  7193965,  202824 , 1923184 
256 , 7947583,  8150878,  203295 , 1913355 
257 , 8909115,  9113027,  203912 , 1923681 
258 , 9865718,  10070188,  204470 , 1913764 
259 , 10826904,  11032060,  205156 , 1923058 
260 , 11783358,  11989203,  205845 , 1913597 
261 , 12744353,  12950812,  206459 , 1922604 
262 , 13700820,  13908031,  207211 , 1913686 
263 , 14661885,  14869731,  207846 , 1922765 
264 , 15618528,  15827008,  208480 , 1913920 
265 , 16579339,  16788486,  209147 , 1922289 
266 , 17535912,  17745702,  209790 , 1913789 
267 , 18496811,  18707300,  210489 , 1922497 
268 , 19453436,  19664581,  211145 , 1913906 
269 , 866742,  948660,  81918 , 8552631977 
270 , 1828937,  1911029,  82092 , 1924564 
271 , 2789339,  2871558,  82219 , 1920931 
272 , 3751575,  3833959,  82384 , 1924637 
273 , 4711934,  4794451,  82517 , 1920851 
274 , 5674194,  5756887,  82693 , 1924696 
275 , 6634538,  6717358,  82820 , 1920815 
276 , 7596832,  7679821,  82989 , 1924757 
277 , 8557200,  8640331,  83131 , 1920878 
278 , 9519498,  9602787,  83289 , 1924754 
279 , 10479860,  10563288,  83428 , 1920863 
280 , 11442173,  11525765,  83592 , 1924790 
281 , 12402518,  12486244,  83726 , 1920824 
282 , 13364855,  13448745,  83890 , 1924838 
283 , 14325082,  14409106,  84024 , 1920588 
284 , 15287524,  15371710,  84186 , 1925046 
285 , 16247742,  16332071,  84329 , 1920579 
286 , 17210229,  17294726,  84497 , 1925142 
287 , 18170410,  18255062,  84652 , 1920517 
288 , 19132930,  19217745,  84815 , 1925203 
289 , 20093055,  20178027,  84972 , 1920407 
290 , 327248,  334846,  7598 , 8550325604 
291 , 1355692,  1363314,  7622 , 2056912 
292 , 2383999,  2391648,  7649 , 2056641 
293 , 3411356,  3419031,  7675 , 2054740 
294 , 4438508,  4446210,  7702 , 2054331 
295 , 5464782,  5472510,  7728 , 2052574 
296 , 6490866,  6498621,  7755 , 2052195 
297 , 7516056,  7523838,  7782 , 2050407 
298 , 8541091,  8548902,  7811 , 2050099 
299 , 9565334,  9573170,  7836 , 2048511 
300 , 10589385,  10597248,  7863 , 2048129 
301 , 11612592,  11620481,  7889 , 2046440 
302 , 12635665,  12643582,  7917 , 2046174 
303 , 13657882,  13665826,  7944 , 2044461 
304 , 14679970,  14687944,  7974 , 2044206 
305 , 15701205,  15709202,  7997 , 2042493 
306 , 16722344,  16730370,  8026 , 2042307 
307 , 17742698,  17750749,  8051 , 2040733 
308 , 18762932,  18771013,  8081 , 2040498 
309 , 19782346,  19790453,  8107 , 2038854 
