Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  321 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 880093,  883556,  3463 
1 , 2906381,  2909867,  3486 , 4052599 
2 , 4743610,  4747117,  3507 , 3674479 
3 , 6471875,  6475404,  3529 , 3456552 
4 , 8125155,  8128706,  3551 , 3306582 
5 , 9719847,  9723416,  3569 , 3189402 
6 , 11267640,  11271232,  3592 , 3095609 
7 , 12776836,  12780453,  3617 , 3018417 
8 , 14252427,  14256062,  3635 , 2951200 
9 , 15699239,  15702895,  3656 , 2893645 
10 , 17120620,  17124298,  3678 , 2842784 
11 , 18519391,  18523090,  3699 , 2797563 
12 , 19897385,  19901106,  3721 , 2756010 
13 , 21256679,  21260419,  3740 , 2718607 
14 , 22598996,  22602758,  3762 , 2684656 
15 , 23925662,  23929447,  3785 , 2653355 
16 , 25237902,  25241705,  3803 , 2624498 
17 , 26536755,  26540581,  3826 , 2597729 
18 , 27823035,  27826881,  3846 , 2572580 
19 , 29097569,  29101437,  3868 , 2549090 
20 , 30360960,  30364848,  3888 , 2526802 
21 , 31614053,  31617963,  3910 , 2506208 
22 , 32857138,  32861070,  3932 , 2486192 
23 , 34091201,  34095152,  3951 , 2468145 
24 , 35316481,  35320455,  3974 , 2450583 
25 , 36533592,  36537584,  3992 , 2434240 
26 , 37742711,  37746725,  4014 , 2418260 
27 , 38944440,  38948476,  4036 , 2403480 
28 , 40138868,  40142923,  4055 , 2388875 
29 , 41326699,  41330776,  4077 , 2375684 
30 , 42507882,  42511981,  4099 , 2362388 
31 , 43682854,  43686973,  4119 , 2349964 
32 , 44851768,  44855907,  4139 , 2337848 
33 , 46014995,  46019156,  4161 , 2326476 
34 , 47172536,  47176717,  4181 , 2315102 
35 , 48324862,  48329065,  4203 , 2304674 
36 , 49471838,  49476062,  4224 , 2293973 
37 , 50614053,  50618295,  4242 , 2284448 
38 , 51751356,  51755621,  4265 , 2274629 
39 , 52884156,  52888444,  4288 , 2265623 
40 , 54012406,  54016715,  4309 , 2256521 
41 , 55136492,  55140818,  4326 , 2248189 
42 , 56256254,  56260603,  4349 , 2239547 
43 , 57372106,  57376476,  4370 , 2231725 
44 , 58483980,  58488371,  4391 , 2223769 
45 , 59592160,  59596571,  4411 , 2216380 
46 , 60696613,  60701045,  4432 , 2208927 
47 , 61797626,  61802080,  4454 , 2202048 
48 , 62895159,  62899633,  4474 , 2195086 
49 , 63989421,  63993915,  4494 , 2188544 
50 , 65080352,  65084868,  4516 , 2181884 
51 , 66168215,  66172751,  4536 , 2175746 
52 , 67252911,  67257468,  4557 , 2169413 
53 , 68334759,  68339337,  4578 , 2163717 
54 , 69413520,  69418119,  4599 , 2157543 
55 , 70489565,  70494185,  4620 , 2152111 
56 , 71562743,  71567385,  4642 , 2146378 
57 , 72633339,  72638000,  4661 , 2141211 
58 , 73701188,  73705870,  4682 , 2135719 
59 , 74766564,  74771268,  4704 , 2130774 
60 , 75829344,  75834068,  4724 , 2125580 
61 , 76889791,  76894536,  4745 , 2120915 
62 , 77947775,  77952541,  4766 , 2115989 
63 , 79003491,  79008278,  4787 , 2111453 
64 , 80056872,  80061681,  4809 , 2106784 
65 , 81108049,  81112879,  4830 , 2102375 
66 , 82157016,  82161866,  4850 , 2097954 
67 , 83203886,  83208758,  4872 , 2093762 
68 , 84248658,  84253550,  4892 , 2089564 
69 , 85291470,  85296383,  4913 , 2085645 
70 , 86332207,  86337141,  4934 , 2081495 
71 , 87371062,  87376016,  4954 , 2077730 
72 , 88407893,  88412871,  4978 , 2073686 
73 , 89442976,  89447974,  4998 , 2070186 
74 , 90476081,  90481098,  5017 , 2066229 
75 , 91507515,  91512555,  5040 , 2062891 
76 , 92537055,  92542116,  5061 , 2059101 
77 , 93564956,  93570039,  5083 , 2055824 
78 , 94591047,  94596149,  5102 , 2052201 
79 , 95615593,  95620718,  5125 , 2049115 
80 , 96638422,  96643568,  5146 , 2045679 
81 , 97659782,  97664948,  5166 , 2042740 
82 , 98679468,  98684654,  5186 , 2039392 
83 , 99697712,  99702920,  5208 , 2036510 
84 , 100714372,  100719601,  5229 , 2033341 
85 , 101729607,  101734858,  5251 , 2030492 
86 , 102743301,  102748572,  5271 , 2027408 
87 , 103755646,  103760939,  5293 , 2024712 
88 , 104766519,  104771832,  5313 , 2021766 
89 , 105776083,  105781420,  5337 , 2019152 
90 , 106784230,  106789586,  5356 , 2016313 
91 , 107791110,  107796488,  5378 , 2013782 
92 , 108796624,  108802024,  5400 , 2011050 
93 , 109800858,  109806280,  5422 , 2008490 
94 , 110803805,  110809247,  5442 , 2005914 
95 , 111805551,  111811014,  5463 , 2003513 
96 , 112806124,  112811606,  5482 , 2001165 
97 , 113805533,  113811038,  5505 , 1998841 
98 , 114803761,  114809287,  5526 , 1996477 
99 , 115800842,  115806391,  5549 , 1994185 
100 , 116796808,  116802375,  5567 , 1991950 
101 , 433726,  439980,  6254 , 8357209115 
102 , 1400446,  1406720,  6274 , 1933460 
103 , 2366572,  2372868,  6296 , 1932274 
104 , 3331886,  3338204,  6318 , 1930650 
105 , 4296566,  4302905,  6339 , 1929381 
106 , 5260533,  5266896,  6363 , 1927958 
107 , 6223843,  6230228,  6385 , 1926642 
108 , 7186449,  7192857,  6408 , 1925235 
109 , 8148406,  8154835,  6429 , 1923935 
110 , 9109767,  9116216,  6449 , 1922742 
111 , 10070456,  10076929,  6473 , 1921402 
112 , 11030612,  11037107,  6495 , 1920334 
113 , 11990081,  11996598,  6517 , 1918960 
114 , 12949006,  12955545,  6539 , 1917872 
115 , 13907274,  13913834,  6560 , 1916557 
116 , 14864985,  14871566,  6581 , 1915443 
117 , 15822123,  15828726,  6603 , 1914298 
118 , 16778688,  16785314,  6626 , 1913153 
119 , 17734711,  17741358,  6647 , 1912067 
120 , 18690140,  18696809,  6669 , 1910880 
121 , 19645035,  19651728,  6693 , 1909814 
122 , 915250,  925003,  9753 , 8552478082 
123 , 1829751,  1839526,  9775 , 1829024 
124 , 2744334,  2754135,  9801 , 1829192 
125 , 3658506,  3668331,  9825 , 1828368 
126 , 4572809,  4582660,  9851 , 1828632 
127 , 5486648,  5496524,  9876 , 1827703 
128 , 6400623,  6410525,  9902 , 1827976 
129 , 7314118,  7324047,  9929 , 1827017 
130 , 8227760,  8237715,  9955 , 1827310 
131 , 9140958,  9150937,  9979 , 1826420 
132 , 10054272,  10064278,  10006 , 1826655 
133 , 10967148,  10977180,  10032 , 1825778 
134 , 11880143,  11890202,  10059 , 1826017 
135 , 12792739,  12802822,  10083 , 1825216 
136 , 13705427,  13715536,  10109 , 1825402 
137 , 14617733,  14627867,  10134 , 1824637 
138 , 15530062,  15540221,  10159 , 1824683 
139 , 16442053,  16452237,  10184 , 1824007 
140 , 17354088,  17364296,  10208 , 1824094 
141 , 18265786,  18276020,  10234 , 1823422 
142 , 19177561,  19187820,  10259 , 1823575 
143 , 900160,  913131,  12971 , 8553382502 
144 , 1801407,  1814402,  12995 , 1802518 
145 , 2702219,  2715243,  13024 , 1801653 
146 , 3603315,  3616368,  13053 , 1802221 
147 , 4503983,  4517061,  13078 , 1801361 
148 , 5404964,  5418067,  13103 , 1801987 
149 , 6305517,  6318649,  13132 , 1801135 
150 , 7206385,  7219546,  13161 , 1801765 
151 , 8106830,  8120016,  13186 , 1800915 
152 , 9007552,  9020766,  13214 , 1801472 
153 , 9907834,  9921073,  13239 , 1800589 
154 , 10808453,  10821721,  13268 , 1801267 
155 , 11708612,  11721907,  13295 , 1800345 
156 , 12609111,  12622435,  13324 , 1801027 
157 , 13509120,  13522472,  13352 , 1800046 
158 , 14409541,  14422920,  13379 , 1800869 
159 , 15309466,  15322872,  13406 , 1799877 
160 , 16209722,  16223154,  13432 , 1800538 
161 , 17109493,  17122955,  13462 , 1799572 
162 , 18009626,  18023113,  13487 , 1800291 
163 , 18909292,  18922807,  13515 , 1799360 
164 , 628830,  647056,  18226 , 8553378379 
165 , 1521450,  1539708,  18258 , 1785272 
166 , 2414645,  2432938,  18293 , 1786425 
167 , 3307193,  3325520,  18327 , 1785130 
168 , 4200324,  4218685,  18361 , 1786296 
169 , 5092807,  5111202,  18395 , 1785000 
170 , 5985874,  6004304,  18430 , 1786169 
171 , 6878246,  6896711,  18465 , 1784779 
172 , 7771248,  7789746,  18498 , 1786037 
173 , 8663559,  8682095,  18536 , 1784660 
174 , 9556483,  9575052,  18569 , 1785881 
175 , 10448753,  10467358,  18605 , 1784576 
176 , 11341603,  11360243,  18640 , 1785735 
177 , 12233820,  12252492,  18672 , 1784466 
178 , 13126610,  13145317,  18707 , 1785615 
179 , 14018711,  14037453,  18742 , 1784237 
180 , 14911449,  14930227,  18778 , 1785512 
181 , 15803468,  15822281,  18813 , 1784073 
182 , 16696095,  16714942,  18847 , 1785288 
183 , 17588054,  17606933,  18879 , 1783950 
184 , 18480650,  18499567,  18917 , 1785230 
