	1	2	3	4	5	6	7	8	9	10
0	14	14	18	13	18	23	13	25	13	12
10	23	21	19	21	17	23	19	18	23	22
20	19	24	17	17	19	23	21	20	17	25
30	15	21	24	20	18	17	21	21	22	12
40	21	20	17	16	18	14	15	11	26	21
50	14	21	24	14	17	21	13	19	19	17
60	21	18	15	16	12	18	17	19	23	12
70	22	12	19	17	22	15	16	14	18	23
80	21	26	22	24	16	13	17	13	21	17
90	22	28	13	19	13	19	19	11	19	16
100	25	17	16	22	22	18	20	12	18	23
110	21	20	18	21	20	24	17	18	18	29
120	27	17	12	21	14	24	15	18	17	29
130	19	21	17	22	24	19	15	16	23	17
140	18	13	22	15	26	21	17	19	18	21
150	18	24	21	16	19	19	20	26	20	18
160	32	17	19	22	18	18	17	26	14	20
170	11	16	19	11	14	20	11	17	15	20
180	20	26	22	16	22	19	14	21	26	14
190	21	19	20	23	20	15	18	20	15	26
200	20	19	30	19	16	15	18	15	20	25
210	21	20	20	20	18	21	22	22	27	12
220	27	23	16	16	20	26	19	18	18	17
230	14	24	15	18	14	25	21	23	22	15
240	18	23	15	19	16	22	18	13	23	8
250	14	18	16	18	18	15	16	19	20	13
260	12	20	19	20	15	13				
