	1	2	3	4	5	6	7	8	9	10
0	4	3	7	3	8	3	8	5	5	6
10	4	3	5	7	6	6	8	9	5	4
20	4	13	7	5	4	4	5	4	5	3
30	9	3	11	10	4	7	8	4	7	4
40	9	8	6	6	5	8	12	3	6	9
50	4	7	6	5	5	10	8	10	9	3
60	6	2	11	9	8	7	7	5	5	6
70	7	4	9	4	6	9	8	6	4	9
80	8	3	10	7	6	6	5	7	8	10
90	7	6	2	6	9	6	9	9	6	8
100	6	6	9	2	7	6	3	8	6	5
110	10	6	8	7	10	6	6	2	6	4
120	5	11	5	9	7	4	6	3	8	11
130	3	2	6	9	3	8	4	2	4	6
140	5	3	3	5	10	8	8	6	9	6
150	3	4	7	9	6	6	7	11	6	8
160	2	4	3	4	10	8	6	7	2	7
170	4	7	4	8	7	4	8	5	7	5
180	7	8	6	8	5	5	5	6	4	3
190	10	3	5	4	3	7	4	7	8	6
200	3	10	7	2	9	9	5	3	7	2
210	6	7	9	2	8	2	7	5	7	7
220	5	5	9	6	7	7	5	3	3	5
230	8	7	6	1	6	9	3	9	9	5
240	7	10	4	8	7	11	12	4	6	10
250	7	7	6	4	6	3	6	4	10	2
260	5	4	6	3	6	7	8	4	5	8
270	11	2	9	10	11	7	6	3	4	4
280	8	7	4	3	6	9	7	3	8	8
290	3	3	6	2	0	7	12	4	4	8
300	7	7	11	7	4	6	5	4	7	8
310	7	7	7	9	6	8	8	2	8	5
320	7	1	9	2	7	7	4	7	9	7
330	5	9	7	7	8	5	6	4	8	9
340	8	4	5	9	6	9	8	7	7	5
350	5	7	4	7	7	7	4	11	10	8
360	8	13	6	3	10	4	5	3	4	5
370	12	4	6	4	4	6	10	8	5	7
380	3	7	5	6	5	9	3	10	8	11
390	4	8	7	6	8	7	6	5	6	6
400	7	9	5	11	8	5	10	4	6	4
410	5	4	5	7	7	8	8	5	3	9
420	4	9	5	6	3	4	6	8	8	5
430	3	7	7	6	13	3	6	12	5	4
440	8	3	8	8	4	4	10	7	8	6
450	7	6	5	9	9	6	7	10	4	4
460	7	5	4	8	7	9	4	6	9	5
470	6	7	9	10	8	8	4	6	6	6
480	13	14	5	5	7	5	3	7	9	8
490	9	5	6	3	9	3	12	3	3	4
500	10	8	8	10	2	5	7	8	7	5
510	7	3	1	8	4	4	6	6	7	2
520	4	5	10	2	2	6	5	9	2	7
530	2	2	10	5	5	4	6	7	6	7
540	8	8	4	10	9	7	3	10	9	6
550	5	5	6	6	10	6	9	4	3	4
560	7	9	7	5	5	11	10	4	6	4
570	6	6	9	9	4	6	6	7	7	4
580	7	12	3	11	6	5	6	4	6	8
590	4	7	2	11	11	1	3	8	4	14
600	9	4	7	6	4	9	10	7	13	6
610	8	5	2	10	4	7	2	6	6	5
620	7	6	3	6	8	9	3	12	6	7
630	7	6	8	6	6	8	4	11	5	6
640	4	10	4	7	7	7	6	8	5	6
650	11	12	5	5	8	10	9	6	4	2
660	13	6	8	11	3	9	0	10	6	8
670	5	3	5	8	7	9	5	12	6	6
680	7	5	7	6	6	6	6	7	5	5
690	3	5	6	10	7	7	4	4	7	3
700	5	10	2	6	6	7	11	7	3	9
710	9	4	12	7	6	9	7	5	4	6
720	6	4	8	6	8	9	5	6	4	6
730	8	5	2	5	9	7	7	8	7	4
740	7	3	3	7	11	7	5	3	3	2
750	3	6	5	8	7	3	9	3	4	5
760	7	6	7	3	8	7	6	2	6	6
770	4	8	3	8	9	4	7	3	5	5
780	2	5	5	6	7	7	7	5	7	5
790	5	10	6	3	6	6	2	5	6	5
