0 , 673041,  676178,  3137 
1 , 2580808,  2583957,  3149 , 3815546 
2 , 4312707,  4315870,  3163 , 3463812 
3 , 5945688,  5948867,  3179 , 3265978 
4 , 7508243,  7511437,  3194 , 3125125 
5 , 9017187,  9020396,  3209 , 3017903 
6 , 10482905,  10486130,  3225 , 2931452 
7 , 11912482,  11915719,  3237 , 2859166 
8 , 13311110,  13314362,  3252 , 2797271 
9 , 14682841,  14686107,  3266 , 2743476 
10 , 16030656,  16033937,  3281 , 2695645 
11 , 17357112,  17360407,  3295 , 2652926 
12 , 18664155,  18667464,  3309 , 2614100 
13 , 19953707,  19957031,  3324 , 2579119 
14 , 21227097,  21230436,  3339 , 2546795 
15 , 22485615,  22488968,  3353 , 2517050 
16 , 23730334,  23733702,  3368 , 2489453 
17 , 24962338,  24965721,  3383 , 2464023 
18 , 26182463,  26185861,  3398 , 2440265 
19 , 27391379,  27394790,  3411 , 2417845 
20 , 28589911,  28593336,  3425 , 2397078 
21 , 29778494,  29781932,  3438 , 2377179 
22 , 30957910,  30961364,  3454 , 2358848 
23 , 32128305,  32131773,  3468 , 2340804 
24 , 33290497,  33293980,  3483 , 2324399 
25 , 34444600,  34448095,  3495 , 2308218 
26 , 35591269,  35594779,  3510 , 2293353 
27 , 36730606,  36734130,  3524 , 2278688 
28 , 37863147,  37866686,  3539 , 2265097 
29 , 38988946,  38992499,  3553 , 2251612 
30 , 40108551,  40112117,  3566 , 2239223 
31 , 41221922,  41225505,  3583 , 2226759 
32 , 42329523,  42333120,  3597 , 2215216 
33 , 43431392,  43435001,  3609 , 2203750 
34 , 44527933,  44531557,  3624 , 2193097 
35 , 45619130,  45622767,  3637 , 2182407 
36 , 46705385,  46709037,  3652 , 2172525 
37 , 47786690,  47790356,  3666 , 2162624 
38 , 48863349,  48867031,  3682 , 2153334 
39 , 49935443,  49939138,  3695 , 2144201 
40 , 51003207,  51006914,  3707 , 2135540 
41 , 52066664,  52070386,  3722 , 2126929 
42 , 53126110,  53129846,  3736 , 2118906 
43 , 54181494,  54185244,  3750 , 2110782 
44 , 55233099,  55236862,  3763 , 2103223 
45 , 56280833,  56284611,  3778 , 2095483 
46 , 57325063,  57328856,  3793 , 2088475 
47 , 58365625,  58369432,  3807 , 2081138 
48 , 59402854,  59406675,  3821 , 2074472 
49 , 60436635,  60440470,  3835 , 2067576 
50 , 61467250,  61471099,  3849 , 2061244 
51 , 62494566,  62498428,  3862 , 2054645 
52 , 63518878,  63522756,  3878 , 2048640 
53 , 64540050,  64543942,  3892 , 2042358 
54 , 65558389,  65562294,  3905 , 2036691 
55 , 66573739,  66577658,  3919 , 2030714 
56 , 67586388,  67590321,  3933 , 2025312 
57 , 68596226,  68600173,  3947 , 2019690 
58 , 69603472,  69607432,  3960 , 2014505 
59 , 70608047,  70612022,  3975 , 2009165 
60 , 71610142,  71614132,  3990 , 2004205 
61 , 72609687,  72613690,  4003 , 1999103 
62 , 73606881,  73610899,  4018 , 1994403 
63 , 74601576,  74605607,  4031 , 1989403 
64 , 75594071,  75598117,  4046 , 1985005 
65 , 76584203,  76588262,  4059 , 1980277 
66 , 77572188,  77576263,  4075 , 1975986 
67 , 78557922,  78562011,  4089 , 1971482 
68 , 79541620,  79545723,  4103 , 1967410 
69 , 80523136,  80527252,  4116 , 1963045 
70 , 81502700,  81506830,  4130 , 1959142 
71 , 82480181,  82484325,  4144 , 1954976 
72 , 83455788,  83459946,  4158 , 1951228 
73 , 84429361,  84433534,  4173 , 1947161 
74 , 85401163,  85405348,  4185 , 1943616 
75 , 86371007,  86375206,  4199 , 1939702 
76 , 87339116,  87343329,  4213 , 1936232 
77 , 88305350,  88309578,  4228 , 1932483 
78 , 89269964,  89274207,  4243 , 1929243 
79 , 90232753,  90237009,  4256 , 1925591 
80 , 91193975,  91198246,  4271 , 1922459 
81 , 92153433,  92157716,  4283 , 1918928 
82 , 93111377,  93115676,  4299 , 1915904 
83 , 94067602,  94071914,  4312 , 1912463 
84 , 95022368,  95026694,  4326 , 1909546 
85 , 95975491,  95979830,  4339 , 1906259 
86 , 96927201,  96931557,  4356 , 1903437 
87 , 97877310,  97881678,  4368 , 1900230 
88 , 98826047,  98830430,  4383 , 1897489 
89 , 99773272,  99777667,  4395 , 1894462 
90 , 100719158,  100723569,  4411 , 1891788 
91 , 101663560,  101667983,  4423 , 1888816 
92 , 102606685,  102611125,  4440 , 1886267 
93 , 103548376,  103552829,  4453 , 1883395 
94 , 104488837,  104493305,  4468 , 1880937 
95 , 105427875,  105432355,  4480 , 1878088 
96 , 106365757,  106370251,  4494 , 1875778 
97 , 107302233,  107306740,  4507 , 1872965 
98 , 108237580,  108242104,  4524 , 1870711 
99 , 109171608,  109176145,  4537 , 1868069 
100 , 110104557,  110109108,  4551 , 1865912 
101 , 254874,  259676,  4802 , 8370235477 
102 , 1167844,  1172662,  4818 , 1825956 
103 , 2080044,  2084877,  4833 , 1824415 
104 , 2991150,  2995996,  4846 , 1822225 
105 , 3901520,  3906380,  4860 , 1820754 
106 , 4810848,  4815723,  4875 , 1818671 
107 , 5719475,  5724364,  4889 , 1817268 
108 , 6627055,  6631959,  4904 , 1815175 
109 , 7533966,  7538885,  4919 , 1813837 
110 , 8439841,  8444773,  4932 , 1811763 
111 , 9345082,  9350030,  4948 , 1810498 
112 , 10249308,  10254270,  4962 , 1808466 
113 , 11152918,  11157893,  4975 , 1807233 
114 , 12055532,  12060524,  4992 , 1805245 
115 , 12957551,  12962555,  5004 , 1804050 
116 , 13858620,  13863639,  5019 , 1802153 
117 , 14759095,  14764129,  5034 , 1800965 
118 , 15658623,  15663673,  5050 , 1799072 
119 , 16557606,  16562668,  5062 , 1797978 
120 , 17455677,  17460753,  5076 , 1796156 
121 , 18353202,  18358294,  5092 , 1795066 
122 , 19249803,  19254909,  5106 , 1793216 
123 , 20145887,  20151006,  5119 , 1792181 
124 , 21041083,  21046217,  5134 , 1790407 
125 , 21935758,  21940907,  5149 , 1789365 
126 , 22829577,  22834739,  5162 , 1787651 
127 , 23722889,  23728067,  5178 , 1786640 
128 , 24615346,  24620537,  5191 , 1784927 
129 , 25507303,  25512508,  5205 , 1783928 
130 , 26398441,  26403662,  5221 , 1782292 
131 , 27289094,  27294328,  5234 , 1781319 
132 , 403272,  408973,  5701 , 8536163415 
133 , 1275673,  1281389,  5716 , 1744817 
134 , 2147815,  2153546,  5731 , 1744299 
135 , 3019355,  3025099,  5744 , 1743093 
136 , 3890639,  3896399,  5760 , 1742584 
137 , 4761283,  4767056,  5773 , 1741301 
138 , 5631693,  5637484,  5791 , 1740838 
139 , 6501472,  6507276,  5804 , 1739571 
140 , 7371024,  7376841,  5817 , 1739117 
141 , 8239970,  8245801,  5831 , 1737906 
142 , 9108682,  9114530,  5848 , 1737441 
143 , 9976810,  9982671,  5861 , 1736269 
144 , 10844699,  10850575,  5876 , 1735793 
145 , 11711997,  11717887,  5890 , 1734610 
146 , 12579065,  12584971,  5906 , 1734152 
147 , 13445575,  13451493,  5918 , 1733032 
148 , 14311838,  14317773,  5935 , 1732543 
149 , 15177538,  15183485,  5947 , 1731412 
150 , 16043028,  16048992,  5964 , 1730997 
151 , 16907937,  16913916,  5979 , 1729833 
152 , 17772647,  17778639,  5992 , 1729433 
153 , 539612,  547085,  7473 , 8555470003 
154 , 1378011,  1385500,  7489 , 1676814 
155 , 2216367,  2223869,  7502 , 1676725 
156 , 3054461,  3061980,  7519 , 1676205 
157 , 3892435,  3899970,  7535 , 1675964 
158 , 4730170,  4737721,  7551 , 1675486 
159 , 5568459,  5575352,  6893 , 1675920 
160 , 6405169,  6412750,  7581 , 1674108 
161 , 7242428,  7250026,  7598 , 1674535 
162 , 8079476,  8087088,  7612 , 1674110 
163 , 8916373,  8924001,  7628 , 1673810 
164 , 9753064,  9760709,  7645 , 1673399 
165 , 10589619,  10597281,  7662 , 1673127 
166 , 11425974,  11433652,  7678 , 1672726 
167 , 12262194,  12269887,  7693 , 1672455 
168 , 13098223,  13105933,  7710 , 1672075 
169 , 13934097,  13941821,  7724 , 1671762 
170 , 14769785,  14777527,  7742 , 1671394 
171 , 15605319,  15613078,  7759 , 1671085 
172 , 16440687,  16448460,  7773 , 1670750 
173 , 17275893,  17283683,  7790 , 1670429 
174 , 382385,  396887,  14502 , 8556154288 
175 , 1191513,  1206038,  14525 , 1618279 
176 , 2000359,  2014907,  14548 , 1617715 
177 , 2809521,  2824091,  14570 , 1618346 
178 , 3618270,  3632862,  14592 , 1617520 
179 , 4427360,  4441976,  14616 , 1618204 
180 , 5236056,  5250697,  14641 , 1617417 
181 , 6045090,  6059750,  14660 , 1618087 
182 , 6853741,  6868426,  14685 , 1617327 
183 , 7662716,  7677423,  14707 , 1617972 
184 , 8471300,  8486028,  14728 , 1617189 
185 , 9280234,  9294983,  14749 , 1617889 
186 , 10088762,  10103538,  14776 , 1617083 
187 , 10897636,  10912433,  14797 , 1617769 
188 , 11706107,  11720927,  14820 , 1616965 
189 , 12514910,  12529754,  14844 , 1617630 
190 , 13323328,  13338193,  14865 , 1616857 
191 , 14132074,  14146961,  14887 , 1617514 
192 , 14940440,  14955354,  14914 , 1616759 
193 , 15749140,  15764072,  14932 , 1617418 
194 , 16557465,  16572422,  14957 , 1616675 
195 , 423994,  434762,  10768 , 8557663461 
196 , 1241208,  1251993,  10785 , 1634445 
197 , 2058184,  2068989,  10805 , 1633972 
198 , 2875312,  2886138,  10826 , 1634277 
199 , 3692102,  3702946,  10844 , 1633598 
200 , 4509110,  4519973,  10863 , 1634035 
201 , 5325779,  5336662,  10883 , 1633358 
202 , 6142648,  6153549,  10901 , 1633756 
203 , 6959209,  6970128,  10919 , 1633140 
204 , 7775965,  7786903,  10938 , 1633531 
205 , 8592399,  8603358,  10959 , 1632889 
206 , 9409007,  9419984,  10977 , 1633234 
207 , 10225309,  10236305,  10996 , 1632623 
208 , 11041806,  11052823,  11017 , 1633015 
209 , 11857990,  11869026,  11036 , 1632387 
210 , 12674377,  12685428,  11051 , 1632789 
211 , 13490429,  13501503,  11074 , 1632127 
212 , 14306700,  14317790,  11090 , 1632558 
213 , 15122639,  15133748,  11109 , 1631897 
214 , 15938788,  15949917,  11129 , 1632318 
215 , 16754610,  16765756,  11146 , 1631661 
216 , 511392,  520301,  8909 , 8557445919 
217 , 1337206,  1346132,  8926 , 1651645 
218 , 2162994,  2171937,  8943 , 1651593 
219 , 2988603,  2997562,  8959 , 1651234 
220 , 3814160,  3823137,  8977 , 1651132 
221 , 4639565,  4648558,  8993 , 1650826 
222 , 5464893,  5473902,  9009 , 1650672 
223 , 6290099,  6299129,  9030 , 1650433 
224 , 7115250,  7124294,  9044 , 1650316 
225 , 7940246,  7949308,  9062 , 1650010 
226 , 8765190,  8774267,  9077 , 1649903 
227 , 9589981,  9599076,  9095 , 1649600 
228 , 10414714,  10423827,  9113 , 1649484 
229 , 11239298,  11248428,  9130 , 1649185 
230 , 12063843,  12072987,  9144 , 1649104 
231 , 12888229,  12897393,  9164 , 1648792 
232 , 13712565,  13721744,  9179 , 1648687 
233 , 14536749,  14545947,  9198 , 1648387 
234 , 15360898,  15370111,  9213 , 1648313 
235 , 16184895,  16194127,  9232 , 1648013 
236 , 17008844,  17018092,  9248 , 1647914 
237 , 172124,  188325,  16201 , 8556268105 
238 , 979252,  995472,  16220 , 1614275 
239 , 1786391,  1802629,  16238 , 1614296 
240 , 2593475,  2609732,  16257 , 1614187 
241 , 3400581,  3416862,  16281 , 1614236 
242 , 4207621,  4223920,  16299 , 1614098 
243 , 5014684,  5031007,  16323 , 1614150 
244 , 5821681,  5838025,  16344 , 1614015 
245 , 6628709,  6645071,  16362 , 1614074 
246 , 7435678,  7452062,  16384 , 1613960 
247 , 8242657,  8259060,  16403 , 1613977 
248 , 9049608,  9066032,  16424 , 1613923 
249 , 9856547,  9872993,  16446 , 1613900 
250 , 10663478,  10679942,  16464 , 1613880 
251 , 11470368,  11486855,  16487 , 1613803 
252 , 12277266,  12293771,  16505 , 1613814 
253 , 13084119,  13100647,  16528 , 1613729 
254 , 13890972,  13907520,  16548 , 1613726 
255 , 14697777,  14714346,  16569 , 1613631 
256 , 15504591,  15521181,  16590 , 1613649 
257 , 16311352,  16327965,  16613 , 1613545 
258 , 72073,  99962,  27889 , 8557467310 
259 , 873979,  901899,  27920 , 1603843 
260 , 1676116,  1704062,  27946 , 1604300 
261 , 2478074,  2506060,  27986 , 1603956 
262 , 3280216,  3308225,  28009 , 1604307 
263 , 4082170,  4110212,  28042 , 1603941 
264 , 4884268,  4912337,  28069 , 1604223 
