Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  391 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 644259,  647378,  3119 
1 , 2605321,  2608449,  3128 , 3922133 
2 , 4388601,  4391743,  3142 , 3566574 
3 , 6074578,  6077727,  3149 , 3371961 
4 , 7688779,  7691943,  3164 , 3228417 
5 , 9250857,  9254031,  3174 , 3124166 
6 , 10767634,  10770820,  3186 , 3033566 
7 , 12249439,  12252635,  3196 , 2963620 
8 , 13698990,  13702198,  3208 , 2899114 
9 , 15121407,  15124627,  3220 , 2844846 
10 , 16519257,  16522488,  3231 , 2795711 
11 , 17895514,  17898755,  3241 , 2752524 
12 , 19251645,  19254898,  3253 , 2712274 
13 , 20590381,  20593645,  3264 , 2677483 
14 , 21912304,  21915580,  3276 , 2643858 
15 , 23219260,  23222546,  3286 , 2613922 
16 , 24511830,  24515129,  3299 , 2585153 
17 , 25791444,  25794753,  3309 , 2559238 
18 , 27058483,  27061804,  3321 , 2534090 
19 , 28313975,  28317307,  3332 , 2510995 
20 , 29558719,  29562063,  3344 , 2489500 
21 , 30793057,  30796410,  3353 , 2468685 
22 , 32018088,  32021453,  3365 , 2450074 
23 , 33233830,  33237206,  3376 , 2431495 
24 , 34440605,  34443993,  3388 , 2413562 
25 , 35639258,  35642656,  3398 , 2397316 
26 , 36829737,  36833149,  3412 , 2380972 
27 , 38012815,  38016235,  3420 , 2366164 
28 , 39188511,  39191945,  3434 , 2351406 
29 , 40357312,  40360755,  3443 , 2337611 
30 , 41519390,  41522845,  3455 , 2324168 
31 , 42675086,  42678551,  3465 , 2311402 
32 , 43824578,  43828056,  3478 , 2298997 
33 , 44968163,  44971651,  3488 , 2287180 
34 , 46105721,  46109221,  3500 , 2275128 
35 , 47237906,  47241416,  3510 , 2264380 
36 , 48364654,  48368177,  3523 , 2253509 
37 , 49486319,  49489851,  3532 , 2243339 
38 , 50602819,  50606362,  3543 , 2233011 
39 , 51714569,  51718124,  3555 , 2223512 
40 , 52821507,  52825075,  3568 , 2213889 
41 , 53923916,  53927495,  3579 , 2204829 
42 , 55021942,  55025532,  3590 , 2196063 
43 , 56115764,  56119364,  3600 , 2187654 
44 , 57205230,  57208841,  3611 , 2178943 
45 , 58290910,  58294534,  3624 , 2171373 
46 , 59372507,  59376142,  3635 , 2163205 
47 , 60450348,  60453995,  3647 , 2155694 
48 , 61524426,  61528082,  3656 , 2148165 
49 , 62594984,  62598651,  3667 , 2141127 
50 , 63661906,  63665585,  3679 , 2133856 
51 , 64725477,  64729167,  3690 , 2127153 
52 , 65785631,  65789331,  3700 , 2120318 
53 , 66842559,  66846270,  3711 , 2113867 
54 , 67896295,  67900019,  3724 , 2107485 
55 , 68946867,  68950600,  3733 , 2101153 
56 , 69994548,  69998292,  3744 , 2095373 
57 , 71039115,  71042871,  3756 , 2089146 
58 , 72080911,  72084679,  3768 , 2083604 
59 , 73119799,  73123578,  3779 , 2077787 
60 , 74155917,  74159707,  3790 , 2072247 
61 , 75189329,  75193129,  3800 , 2066834 
62 , 76220024,  76223835,  3811 , 2061401 
63 , 77248255,  77252078,  3823 , 2056474 
64 , 78273850,  78277684,  3834 , 2051201 
65 , 79297086,  79300932,  3846 , 2046484 
66 , 80317804,  80321661,  3857 , 2041447 
67 , 81336187,  81340053,  3866 , 2036775 
68 , 82352172,  82356049,  3877 , 2031981 
69 , 83365854,  83369744,  3890 , 2027377 
70 , 84377325,  84381226,  3901 , 2022953 
71 , 85386531,  85390441,  3910 , 2018421 
72 , 86393537,  86397459,  3922 , 2014024 
73 , 87398544,  87402478,  3934 , 2010026 
74 , 88401371,  88405316,  3945 , 2005665 
75 , 89402307,  89406261,  3954 , 2001881 
76 , 90401080,  90405047,  3967 , 1997559 
77 , 91398002,  91401979,  3977 , 1993854 
78 , 92393011,  92396998,  3987 , 1990028 
79 , 93386091,  93390090,  3999 , 1986172 
80 , 94377385,  94381396,  4011 , 1982600 
81 , 95366830,  95370852,  4022 , 1978901 
